brewery,beertype,rating,name,ABV
Hochdorfer Kronenbrauerei Otto Haizmann KG,WEIZEN,3.5,Hefe Hell,5.1
Hochdorfer Kronenbrauerei Otto Haizmann KG,WEIZEN,3,Hefe Dunkel,5.1
Aldaris,WEIZEN,3.5,KvieÂšu (Wheat),5.2
Three Rivers Eatery And Brewhouse,WEIZEN,3.5,Red Mountain Wheat,5
Blue & Gray Brewing Co.,WEIZEN,4,Virginia Hefeweizen,5
Gubernija Brewery,WEIZEN,3,Ekstra Baltic Weisse Beer,4.5
Gubernija Brewery,WEIZEN,2,Kvietinis Natural Wheat Beer (Weissbier),4.5
Deep Creek Brewing Company,WEIZEN,4,Dauphine Street Dunkel,4.8
Robert Cain & Company Limited,WEIZEN,4,Cains Organic Wheat Beer,4
Copper Kettle Brewing Company,WEIZEN,4,Biergarden Dunkel,4.5
Wolnzacher BÃ¼rgerbraÃ¼ AG,WEIZEN,4,Wolnzacher Weizen,5.2
Cowaramup Brewing Company,WEIZEN,4,Cowaramup Hefeweizen,5.1
Founders Organic Brewery,WEIZEN,4.5,Duncanweizen,5
Weissbierbrauerei Hopf,WEIZEN,4,Hopf Weisser Bock,7
Kaiserdom Privatbrauerei Bamberg,WEIZEN,3.5,Weizenland Weissbier Dunkel,5.3
Kaiserdom Privatbrauerei Bamberg,WEIZEN,2,Weizenland Weisbier HefetrÃ¼b,4.8
Kaiserdom Privatbrauerei Bamberg,WEIZEN,3,Kaiserdom Hefe-Weissbier NaturtrÃ¼b,4.7
Weissbierbrauerei Hopf,WEIZEN,3,Hopf Dunkle Weisse,5
Lightning Brewery,WEIZEN,4,Thunderweizen,5.5
Le Cheval Blanc,WEIZEN,4,Le Cheval Coup De Grisou,5
Le Cheval Blanc,WEIZEN,3,Wu Long Weizen,5.5
Weissbierbrauerei Hopf,WEIZEN,3.5,Wendelsteiner Hefewsweissbier,5.4
Weissbierbrauerei Hopf,WEIZEN,2.5,Hopf Die Leichtere,3.3
Weissbierbrauerei Hopf,WEIZEN,4,Hopf Ice,7.5
Weissbierbrauerei Hopf,WEIZEN,4.5,Hopf Red,4.7
Weissbierbrauerei Hopf,WEIZEN,4.5,Hopf Spezial Weisse,6
Weissbierbrauerei Hopf,WEIZEN,2,Hopf White,5.5
Privatbrauerei Franz Inselkammer KG / Brauerei Aying,WEIZEN,4.5,Ayinger Weizenbock,7.1
Privatbrauerei Franz Inselkammer KG / Brauerei Aying,WEIZEN,3,Ayinger Leichte BrÃ¤u-Weisse,3.2
Hermitage Brewing,WEIZEN,2,Wheatopia,8
Brouwerij De Molen,WEIZEN,5,Mikkel & Menno,7.2
Brouwerij De Molen,WEIZEN,4,Rijn & Veen,5.1
Brauerei GebrÃ¼der Maisel GmbH & Co.,WEIZEN,4.5,Maisel's Weisse Original,5.4
McNeill's Brewery,WEIZEN,4,McNeill's Wheat Wright,4.9
Brauerei GebrÃ¼der Maisel GmbH & Co.,WEIZEN,4.5,Maisel's Weisse Kristall,5.1
Brauerei GebrÃ¼der Maisel GmbH & Co.,WEIZEN,4,Bayreuther Bio-Weisse,5
Brauerei GebrÃ¼der Maisel GmbH & Co.,WEIZEN,4,Maisel's Weisse Leicht,3.4
Brauerei GebrÃ¼der Maisel GmbH & Co.,WEIZEN,4,Maisel's Weisse Dunkel,5.4
Maisel BrÃ¤u Bamberg GmbH,WEIZEN,4,Maisels Weisse Kristall,5.2
Maisel BrÃ¤u Bamberg GmbH,WEIZEN,5,Bamberger Weisse,5.5
Maisel BrÃ¤u Bamberg GmbH,WEIZEN,4,Bamberger Der Weisse Bock,8.5
Maisel BrÃ¤u Bamberg GmbH,WEIZEN,4,Maisels Weisse Dunkel,5.4
Vintage Brewing Company,WEIZEN,3,Alpentraum Weizenbock,7.3
Vintage Brewing Company,WEIZEN,4.5,Weiss-Blau Weissbier,4.75
Jarre Creek Ranch Brewery,WEIZEN,4,Weather Vane Wheat,4.9
Mt. Begbie Brewing Co.,WEIZEN,4,Bob's Your Dunkel,8
Big Dog's Draft House,WEIZEN,3,Doghouse Dunkelweizen,5.5
Big Dog's Draft House,WEIZEN,4,Big Dog's Doppel Weizenbock,8.5
Big Dog's Draft House,WEIZEN,3.5,Tailwagger Wheat,4.9
Red Bell Brewery & Pub,WEIZEN,4,Red Bell Hefe Weizen,4.8
Caldera Brewing Company,INDIA_PALE_ALE,4.5,Caldera IPA,6.1
Moon River Brewing Company,INDIA_PALE_ALE,4,Swamp Fox IPA,5.8
Hoppin' Frog Brewery,INDIA_PALE_ALE,4,Hoppin' To Heaven IPA,6.8
Caldera Brewing Company,INDIA_PALE_ALE,4,Hopportunity Knocks,6.8
Pacific Coast Brewing Company,INDIA_PALE_ALE,3.5,Holiday Imperial,9
Pacific Coast Brewing Company,INDIA_PALE_ALE,3,Columbus India Pale Ale,7
7 Seas Brewery and Taproom,INDIA_PALE_ALE,4,Ballz Deep Double IPA,8.4
"Clockwork Beer Co, The",INDIA_PALE_ALE,3.5,Amber IPA,3.8
Destiny Brewing Company,INDIA_PALE_ALE,3,Newark IPA,5.5
Broad Ripple Brew Pub,INDIA_PALE_ALE,2.5,I.P.A.,6.2
Broad Ripple Brew Pub,INDIA_PALE_ALE,4.5,Hopcicle Double IPA,9
Moon River Brewing Company,INDIA_PALE_ALE,4,Rosemary IPA,5.8
Moon River Brewing Company,INDIA_PALE_ALE,4,Oatboy Imperial IPA,9.5
Brouwerij Van Viven,INDIA_PALE_ALE,4,Viven Imperial IPA,8
Moon River Brewing Company,INDIA_PALE_ALE,1,Nick's Balls Of Gold,7.2
Bluegrass Brewing Co.,INDIA_PALE_ALE,4,Rye IPA 75,7.5
Bluegrass Brewing Co.,INDIA_PALE_ALE,4,Professor Gesser's Mind Numbing Ale,7.2
Craggie Brewing Company,INDIA_PALE_ALE,4.5,Herkulean IPA,6
Old Orange Brewing Co.,INDIA_PALE_ALE,4.5,Old Orange Cannonball,7
NoDa Brewing Company,INDIA_PALE_ALE,4,NoDa Rye Z'd,8.85
NoDa Brewing Company,INDIA_PALE_ALE,4.5,"Hop, Drop â€˜n Roll",7.2
White Bluffs Brewing Company,INDIA_PALE_ALE,4,Bluffdiver IPA,6.5
Great South Bay Brewery,INDIA_PALE_ALE,3,Hoppocratic Oath,8.7
Great South Bay Brewery,INDIA_PALE_ALE,4,Massive IPA,6.6
Yeastie Boys,INDIA_PALE_ALE,4,Digital IPA,7
Third Base Sports Bar & Brewery,INDIA_PALE_ALE,4,Hopturnal Emissions,9
Pike Pub & Brewery,INDIA_PALE_ALE,4.5,Pike Double IPA,8
7 Seas Brewery and Taproom,INDIA_PALE_ALE,3.5,Hop Prophet,5.8
7 Seas Brewery and Taproom,INDIA_PALE_ALE,4.5,Rude Parrot,5.8
Calapooia Brewing Company,INDIA_PALE_ALE,4.5,Yankee Clipper IPA,6.5
Calapooia Brewing Company,INDIA_PALE_ALE,3.5,Riparian IPA,6.5
Micro-Brasserie Brouemont,INDIA_PALE_ALE,4.5,Brouemont India Pale,6
Micro-Brasserie Brouemont,INDIA_PALE_ALE,3.5,Brouemont Imperial India Pale Ale,7.1
Hoppin' Frog Brewery,INDIA_PALE_ALE,3,Hop Dam Triple IPA,10
Hoppin' Frog Brewery,INDIA_PALE_ALE,3.5,Mean Manalishi Double I.P.A.,8.2
Hoppin' Frog Brewery,INDIA_PALE_ALE,4,Hop Master's Abbey Belgian-Style Double IPA,8.5
Harmon Restaurant & Brewery,INDIA_PALE_ALE,3.5,One Hop Wonder #9 - Columbus,6.7
Pike Pub & Brewery,INDIA_PALE_ALE,4,Pike India Pale Ale,6.5
Founders Brewing Company,INDIA_PALE_ALE,4.5,Founders Double Trouble,9.4
Great Basin Brewing Co.,INDIA_PALE_ALE,4,Hopasaurus,6.3
Great Basin Brewing Co.,INDIA_PALE_ALE,4,Ichthysaur IPA,6.4
Birrificio Indipendente Elav,INDIA_PALE_ALE,2.5,Grunge IPA,6.3
Birrificio Indipendente Elav,INDIA_PALE_ALE,3,Jungle Ale,5.1
No-Li Brewhouse,INDIA_PALE_ALE,4,16 Year Anniversary Ale,6.7
No-Li Brewhouse,INDIA_PALE_ALE,3.5,13th Anniversary Imperial India Pale Ale,8.5
No-Li Brewhouse,INDIA_PALE_ALE,4,12 Year Anniversary Ale,8.2
Catawba Valley Brewing Company,INDIA_PALE_ALE,4.5,Whiskey River IPA,7.2
Catawba Valley Brewing Company,INDIA_PALE_ALE,4,Firewater IPA,5.2
Kirkland Signature / Costco Wholesale Corporation,INDIA_PALE_ALE,3,Kirkland Signature India Pale Ale,6.5
Brasserie La Binchoise (Malterie des Remparts),INDIA_PALE_ALE,3.5,Belgoo Luppo,6.5
Cooperstown Brewing Company,INDIA_PALE_ALE,3,Back Yard India Pale Ale,6.1
Emmett's Brewing Company,INDIA_PALE_ALE,3.5,Imperial IPA,9.5
Fulton Beer,INDIA_PALE_ALE,3.5,Sweet Child Of Vine,6.4
Marco Island Brewery,INDIA_PALE_ALE,3,The Rock IPA,5.5
Harmon Restaurant & Brewery,INDIA_PALE_ALE,4,Emmons 11,7.5
Harmon Restaurant & Brewery,INDIA_PALE_ALE,4.5,One Hop Wonder #10 (Citra),6.2
Harmon Restaurant & Brewery,INDIA_PALE_ALE,3.5,Rajah's Royal IPA,9.9
Harmon Restaurant & Brewery,INDIA_PALE_ALE,4.5,10 Year Clelebration Ale,6.5
Harmon Restaurant & Brewery,INDIA_PALE_ALE,3,One Hop Wonder IPA,6.2
Harmon Restaurant & Brewery,INDIA_PALE_ALE,3,One Hop Wonder #4 (Sterling),7.4
Harmon Restaurant & Brewery,INDIA_PALE_ALE,3.5,Hoppy Holidays,7.5
Harmon Restaurant & Brewery,INDIA_PALE_ALE,4.5,One Hop Wonder Version 12,7.8
Harmon Restaurant & Brewery,INDIA_PALE_ALE,3,Point Defiance IPA,6.1
Copper Crow Brewing Company,INDIA_PALE_ALE,4,Copper Crow IPA,7.3
The Seven Barrel Brewery,INDIA_PALE_ALE,4,Champion Reserve IPA,4.9
The Seven Barrel Brewery,INDIA_PALE_ALE,4,Conan The Destroyer Double IPA,8.7
Bluegrass Brewing Co. - East St. Matthew's,INDIA_PALE_ALE,4,Sheltowee Hop-A-Lot IPA,8
Cambridge Brewing Company,INDIA_PALE_ALE,4,Flower Child IPA,6.5
Bluegrass Brewing Co. - East St. Matthew's,INDIA_PALE_ALE,3.5,Homewrecker,10.25
Bluegrass Brewing Co. - East St. Matthew's,INDIA_PALE_ALE,4.5,Suicide By Hops,7.5
Bluegrass Brewing Co. - East St. Matthew's,INDIA_PALE_ALE,4,Rye 75,7.5
Anacapa Brewing Company,INDIA_PALE_ALE,4.5,Pierpont India Pale Ale,6
Anacapa Brewing Company,INDIA_PALE_ALE,3.5,Two Trees IIPA,9.2
Ram Restaurant & Brewery,INDIA_PALE_ALE,3,Big Red IPA,6
Pike Pub & Brewery,INDIA_PALE_ALE,4,Auld Acquaintance IPA,7
Growlers,INDIA_PALE_ALE,4,Brass Lantern I.P.A.,5.8
Buckhead Brewery and Grill,INDIA_PALE_ALE,4,Emperor Penguin Ale,9.5
Wasatch Brew Pub,INDIA_PALE_ALE,3,Hop Rising,9
Brasserie Craig Allan,INDIA_PALE_ALE,4,Agent Provocateur,6.5
Founders Brewing Company,INDIA_PALE_ALE,4.5,Founders Centennial IPA,7.2
Fernandes Brewery Tap,INDIA_PALE_ALE,4.5,Empress Of India,6
O'Griff's Irish Pub & Brewhouse,INDIA_PALE_ALE,4,Gems India Pale Ale,6.5
Pensacola Bay Brewery,INDIA_PALE_ALE,4.5,Li'l Napoleon,7.5
The Ship Inn,INDIA_PALE_ALE,3.5,Northwest IPA,5.2
Birrificio B.O.A. (Birrificio Ostiense Artigianale),INDIA_PALE_ALE,4,BIA IPA,6.5
Mattingly Brewing Company,INDIA_PALE_ALE,4.5,Dead Flowers,8
Raw Microbrewery,INDIA_PALE_ALE,4,Red Ghost IPA,5.9
Kirkwood Station Brewing Company,INDIA_PALE_ALE,3,Kirkwood Station Black Rye IPA,6
Kirkwood Station Brewing Company,INDIA_PALE_ALE,3.5,Highlands IPA,5.6
Vertigo Brewing,INDIA_PALE_ALE,4.5,Friar Mike's IPA,6.1
Brewfist,INDIA_PALE_ALE,4,Spaceman,7
Brewfist,INDIA_PALE_ALE,3,Burocracy India Pale Ale,6
Founders Brewing Company,INDIA_PALE_ALE,4,Founders Hand Of Doom,10.4
Cornelius Pass Roadhouse & Imbrie Hall (McMenamins),INDIA_PALE_ALE,5,Oak Aged Los Diablos Del Paso,8
Cornelius Pass Roadhouse & Imbrie Hall (McMenamins),INDIA_PALE_ALE,4,Hop Logic,6.2
Haymarket Pub & Brewery,INDIA_PALE_ALE,3,Angry Birds Belgian Rye IPA,7.5
Haymarket Pub & Brewery,INDIA_PALE_ALE,4,The Alarm Double American IPA,8.5
Haymarket Pub & Brewery,INDIA_PALE_ALE,4,Dynamite & Roses,7
Haymarket Pub & Brewery,INDIA_PALE_ALE,4,Rebellion American IPA,6.8
Haymarket Pub & Brewery,INDIA_PALE_ALE,4,Hard Times American IPA,7
Haymarket Pub & Brewery,INDIA_PALE_ALE,4,Agitator Double IPA,8
Haymarket Pub & Brewery,INDIA_PALE_ALE,3.5,Annihilator Double IPA,7.5
Haymarket Pub & Brewery,INDIA_PALE_ALE,4,Anarchy,8.5
Haymarket Pub & Brewery,INDIA_PALE_ALE,3.5,Allocution,7
Haymarket Pub & Brewery,INDIA_PALE_ALE,4,Ombibulous Double IPA,7
Haymarket Pub & Brewery,INDIA_PALE_ALE,4,Yes Sir! Senator! IPA,6.5
Haymarket Pub & Brewery,INDIA_PALE_ALE,5,Mathias Imperial IPA,10
Haymarket Pub & Brewery,INDIA_PALE_ALE,3,Perception IPA,6.5
Haymarket Pub & Brewery,INDIA_PALE_ALE,4.5,Mathias III,6
Haymarket Pub & Brewery,INDIA_PALE_ALE,4,Mathias Jr.,8
Haymarket Pub & Brewery,INDIA_PALE_ALE,3.5,7GA IPA,6.8
Haymarket Pub & Brewery,INDIA_PALE_ALE,3,Peace Frog,6.8
Haymarket Pub & Brewery,INDIA_PALE_ALE,3.5,Antipathy Double IPA,8
Haymarket Pub & Brewery,INDIA_PALE_ALE,3,Back Of The Yards American Belgo IPA,7.5
Haymarket Pub & Brewery,INDIA_PALE_ALE,4,Black Betsy Imperial Black Belgian IPA,10
Haymarket Pub & Brewery,INDIA_PALE_ALE,4.5,Barneyâ€™s American IPA,7
Haymarket Pub & Brewery,INDIA_PALE_ALE,4,Bronzeville American IPA,6.8
Haymarket Pub & Brewery,INDIA_PALE_ALE,4,Fruitier Angrier Birds American Belgo Rye IPA,10
Haymarket Pub & Brewery,INDIA_PALE_ALE,3.5,Loathing Belgian IPA,8
Haymarket Pub & Brewery,INDIA_PALE_ALE,4,Angrier Birds Imperial Belgian Rye IPA,10
Haymarket Pub & Brewery,INDIA_PALE_ALE,3.5,Fear American IPA,7
Haymarket Pub & Brewery,INDIA_PALE_ALE,3.5,A.R. Double IPA,8
Haymarket Pub & Brewery,INDIA_PALE_ALE,3.5,First Chance American IPA,6
Haymarket Pub & Brewery,INDIA_PALE_ALE,3.5,Hogbutcher Belgian IPA,7.5
The Vermont Pub & Brewery,INDIA_PALE_ALE,4,LupÃ©,8
The Vermont Pub & Brewery,INDIA_PALE_ALE,4,Bombay Grab IPA,5.7
Black Forest Brew Haus & Grill,INDIA_PALE_ALE,4,Black Forest India Pale Ale,6.3
Black Forest Brew Haus & Grill,INDIA_PALE_ALE,5,Lost Sailor IPA,7
Tioga-Sequoia Brewing Company,INDIA_PALE_ALE,3.5,General Sherman IPA,7.5
Colorado Mountain Brewery,INDIA_PALE_ALE,3.5,Panther India Pale Ale,5.4
Cambridge Brewing Company,INDIA_PALE_ALE,4,Late Harvest IPA,6.8
Cambridge Brewing Company,INDIA_PALE_ALE,4.5,Endless Summer IPA,6.3
Cambridge Brewing Company,INDIA_PALE_ALE,4,Mind Left Body,5.3
Cambridge Brewing Company,INDIA_PALE_ALE,4.5,The Audacity Of Hops,8
Cambridge Brewing Company,INDIA_PALE_ALE,3.5,Able I.P.A.,7
Cambridge Brewing Company,INDIA_PALE_ALE,5,Valley Girl IPA,5.7
Cambridge Brewing Company,INDIA_PALE_ALE,4.5,Spring Training IPA (dry-hopped With Cascade),6.6
Cambridge Brewing Company,INDIA_PALE_ALE,4.5,Red God IPA,9
Cambridge Brewing Company,INDIA_PALE_ALE,3.5,Bumper Crop IPA,6.8
Cambridge Brewing Company,INDIA_PALE_ALE,4.5,Winter I.P.A.,6.8
Cambridge Brewing Company,INDIA_PALE_ALE,3.5,Big Man Ale,6.8
Cambridge Brewing Company,INDIA_PALE_ALE,3.5,Spring Training IPA,6.6
Founders Brewing Company,INDIA_PALE_ALE,4,Founders All Day IPA,4.8
Founders Brewing Company,INDIA_PALE_ALE,4,Founders Devil Dancer,12
Founders Brewing Company,INDIA_PALE_ALE,4.5,Founders Harvest Ale,6.5
Founders Brewing Company,INDIA_PALE_ALE,4,Founders Looking Glass,11.1
Founders Brewing Company,INDIA_PALE_ALE,4.5,Founders South Island IPA,6.1
Founders Brewing Company,INDIA_PALE_ALE,4.5,Founders Hop Spit Punk Rock IPA,7.1
Founders Brewing Company,INDIA_PALE_ALE,3.5,Founders Cascade Harvest,6.5
Founders Brewing Company,INDIA_PALE_ALE,4.5,Founders 10K IPA,9.1
Founders Brewing Company,INDIA_PALE_ALE,4.5,Founders MPG IPA (Nitro),7.2
Founders Brewing Company,INDIA_PALE_ALE,4.5,Founders Galaxy Oat IPA,6.1
Founders Brewing Company,INDIA_PALE_ALE,4.5,Founders Imperial IPA,9.9
Founders Brewing Company,INDIA_PALE_ALE,4,Founders All Night Long DIPA,9.5
Founders Brewing Company,INDIA_PALE_ALE,4,Founders Special Agent IPA,7.4
Founders Brewing Company,INDIA_PALE_ALE,4.5,Founders SZRP Of Doom,11
Founders Brewing Company,INDIA_PALE_ALE,3.5,Founders Zythos IPA,7.2
George Bateman and Son Ltd. / Batemans Brewery,INDIA_PALE_ALE,3.5,Finchley's IPA,4.5
O'Fallon Brewery,INDIA_PALE_ALE,3.5,Sweet Nectar,7
O'Fallon Brewery,INDIA_PALE_ALE,4,O'Fallon IPA,6
Snowgoose Restaurant & Pub / Sleeping Lady Brewing Company,INDIA_PALE_ALE,3.5,Fish On! IPA,6.4
O'Fallon Brewery,INDIA_PALE_ALE,3.5,5 Day IPA,6.1
Ruth McGowan's Brewpub,INDIA_PALE_ALE,4,Every Day IPA,6
Benny Brewing Company,INDIA_PALE_ALE,4,Benny Brew Hopenstein,6.5
Shamrock Brewing Co.,INDIA_PALE_ALE,3.5,Continuously Hopped IPA,5.5
O'so Brewing Company,INDIA_PALE_ALE,4,Lupulin Maximus Imperial IPA,9
O'so Brewing Company,INDIA_PALE_ALE,2.5,Hop Whoopin,7
Ancient Lakes Brewing Company,INDIA_PALE_ALE,3.5,I-90 IPA,5.8
CucapÃ¡ Brewing Company,INDIA_PALE_ALE,4,CucapÃ¡ Runaway,7.5
Taps Brewing Co. Inc.,INDIA_PALE_ALE,3.5,Taps Big E Chokeslam IPA,7.3
Taps Brewing Co. Inc.,INDIA_PALE_ALE,4,Taps Belgian IPA,7.5
Taps Brewing Co. Inc.,INDIA_PALE_ALE,5,Taps Sinister Sam's Insane IPA,6.5
Ninkasi Fabriques,INDIA_PALE_ALE,4.5,BiÃ¨re I.P.A.,6
Brasserie Dunham,INDIA_PALE_ALE,3.5,Pale Ale Imperiale,8
Brasserie Dunham,INDIA_PALE_ALE,3,IPA Anglaise,5
Sierra Nevada Brewing Co.,INDIA_PALE_ALE,5,Sierra Nevada Anniversary Ale (2007-2009),5.9
Brasserie Dunham,INDIA_PALE_ALE,3,Pale Ale AmÃ©ricaine,6.5
Brasserie Dunham,INDIA_PALE_ALE,4,IPA Belge,6.5
Brasserie Dunham,INDIA_PALE_ALE,3,Hoppy,5.5
Jupiter,INDIA_PALE_ALE,3.5,Kinnickinick Double IPA,7
Jupiter,INDIA_PALE_ALE,4.5,Quasar Double IPA,8.5
Cannon Brew Pub,INDIA_PALE_ALE,4,Amberversary India Amber Ale,6.5
Seven Brides Brewing,INDIA_PALE_ALE,3,Frankenlou's IPA,7
Terminal Gravity Brewing Company,INDIA_PALE_ALE,3.5,Double IPA,7.8
Terminal Gravity Brewing Company,INDIA_PALE_ALE,4,Terminal Gravity IPA,6.9
Cannon Brew Pub,INDIA_PALE_ALE,3.5,Sledgehammer Double IPA,9.3
Cannon Brew Pub,INDIA_PALE_ALE,4,Special Ops IPA,4.5
Scarampola,INDIA_PALE_ALE,3,IPA Italian Pale Ale,7
1702 / The Address Brewing Co.,INDIA_PALE_ALE,4,Rainy Day IPA,6.8
Solvang Brewing Company,INDIA_PALE_ALE,1.5,Valhalla IPA,10
Hereford & Hops Restaurant & Brewpub,INDIA_PALE_ALE,4.5,Redemption IPA,7
Mornington Peninsula Brewery,INDIA_PALE_ALE,3.5,Mornington Peninsula IPA,6.4
Mornington Peninsula Brewery,INDIA_PALE_ALE,4,Mornington Peninsula Imperial IPA,8.5
Stoudts Brewing Co.,INDIA_PALE_ALE,4,Stoudt's India Pale Ale,7.5
Stoudts Brewing Co.,INDIA_PALE_ALE,3,Black Eye PA (Brewer's Reserve),6
Stoudts Brewing Co.,INDIA_PALE_ALE,2.5,Stoudts Abbey Triple Blended With Double IPA,9.5
Stoudts Brewing Co.,INDIA_PALE_ALE,4,Stoudt's Double IPA (India Pale Ale),10
Coastal Extreme Brewing Co.,INDIA_PALE_ALE,3.5,Newport Storm Maelstrom IPA,6.1
Tenaya Creek Brewery,INDIA_PALE_ALE,4,Tenaya Creek Hop Ride IPA,7.2
Snowgoose Restaurant & Pub / Sleeping Lady Brewing Company,INDIA_PALE_ALE,4.5,Belgian IPA,7.5
Snowgoose Restaurant & Pub / Sleeping Lady Brewing Company,INDIA_PALE_ALE,4,Leviathan Double IPA,8.5
Sierra Nevada Brewing Co.,INDIA_PALE_ALE,2,Sierra Nevada Southern Hemisphere Harvest Fresh Hop Ale,6.7
Coastal Extreme Brewing Co.,INDIA_PALE_ALE,4,Newport Storm Summer Ale,6.1
Coastal Extreme Brewing Co.,INDIA_PALE_ALE,4,Newport Storm - Chloe (Cyclone Series),8.6
Tenaya Creek Brewery,INDIA_PALE_ALE,2.5,Tenaya Creek Tandem Double IPA,9
Tenaya Creek Brewery,INDIA_PALE_ALE,4,Tenaya Creek Monsoon,8.5
Cervejaria Devassa,INDIA_PALE_ALE,2.5,Devassa Ãndia (IPA),5.8
Coastal Extreme Brewing Co.,INDIA_PALE_ALE,4,Newport Storm Lefty IPA,5.6
Coastal Extreme Brewing Co.,INDIA_PALE_ALE,4.5,Newport Storm Barrel-Aged Summer Ale,8
Outer Banks Brewing Station,INDIA_PALE_ALE,3,Hopwallop IPA,7.3
Outer Banks Brewing Station,INDIA_PALE_ALE,4.5,Hop Monster IPA,8.5
Almond '22,INDIA_PALE_ALE,2.5,Pink IPA,6.2
Outer Banks Brewing Station,INDIA_PALE_ALE,4,Red-Eye P.A.,7.3
Almond '22,INDIA_PALE_ALE,4,Birrolo,5.6
Darwin Brewery Ltd.,INDIA_PALE_ALE,4.5,Rolling Hitch,5.2
Alcatraz Brewing Co.,INDIA_PALE_ALE,3.5,Hop Goddess,7.5
Alcatraz Brewing Co.,INDIA_PALE_ALE,3,Duipa,9.1
The Bruery,INDIA_PALE_ALE,4.5,Humulus Gold,9
Alley Kat Brewing Company,INDIA_PALE_ALE,3,Blue Dragon,7.5
Alley Kat Brewing Company,INDIA_PALE_ALE,3,Accent Double Edged IPA,8
Alley Kat Brewing Company,INDIA_PALE_ALE,4,Sherbrooke Bad Hare Day,7.8
Alley Kat Brewing Company,INDIA_PALE_ALE,3.5,Red Dragon,7.5
Florida Beer Company,INDIA_PALE_ALE,3.5,Swamp Ape IPA,10
Flying Fish Brewing Company,INDIA_PALE_ALE,4,Exit 16,8.2
Flying Fish Brewing Company,INDIA_PALE_ALE,2.5,HopFish IPA,6.2
Micro-Brasserie L'Alchimiste,INDIA_PALE_ALE,3.5,Indian Pale,5.5
Odd Side Ales,INDIA_PALE_ALE,3.5,Derelicte: Pineapple IPA,6
Odd Side Ales,INDIA_PALE_ALE,3.5,Imperial Fat Bottom IPA,8.25
Odd Side Ales,INDIA_PALE_ALE,3.5,Fat Bottom IPA,5.8
Odd Side Ales,INDIA_PALE_ALE,4,Submission,5.8
C.B. & Potts,INDIA_PALE_ALE,4,Elephant IPA,8
Jamesport Brewing Company Inc.,INDIA_PALE_ALE,2.5,Jamesport IPA,5.8
Micro-Brasserie L'Alchimiste,INDIA_PALE_ALE,4.5,India Dark Ale,7.5
Gentle Ben's Brewing Company,INDIA_PALE_ALE,3.5,Chelsea India Pale Ale,7
Mike's Organic Brewery,INDIA_PALE_ALE,4,Mike's Premium Organic Double IPA,9
Three Heads Brewing,INDIA_PALE_ALE,4,The Kind IPA,6.8
Three Heads Brewing,INDIA_PALE_ALE,3,Ontario Coast IPA,7.5
Sierra Nevada Brewing Co.,INDIA_PALE_ALE,4,Hop Secret 393 - Beer Camp #3,7
Sierra Nevada Brewing Co.,INDIA_PALE_ALE,4.5,Chico IPA,7.3
Sierra Nevada Brewing Co.,INDIA_PALE_ALE,4.5,Sierra Nevada Estate Brewers Harvest Ale,6.7
Sierra Nevada Brewing Co.,INDIA_PALE_ALE,4.5,Best Of Beer Camp: Double IPA - Beer Camp #29,8.5
Sierra Nevada Brewing Co.,INDIA_PALE_ALE,4,Sierra Nevada Celebration Ale,6.8
Hale's Ales Brewery & Pub,INDIA_PALE_ALE,4,Hale's Supergoose DIPA,7.5
Evil Twin Brewing,INDIA_PALE_ALE,4.5,Evil Twin Disco Beer,10.5
Rocky River Brewing,INDIA_PALE_ALE,4,Cyclops,7.3
Sierra Nevada Brewing Co.,INDIA_PALE_ALE,5,Hopsichord - Beer Camp #36,9.7
Sierra Nevada Brewing Co.,INDIA_PALE_ALE,4,Hopstar IPA - Beer Camp #17,7.5
Sierra Nevada Brewing Co.,INDIA_PALE_ALE,3.5,Westnatte Lupulus - Beer Camp #34,6.3
Sierra Nevada Brewing Co.,INDIA_PALE_ALE,4,Sierra Nevada Torpedo Extra IPA,7.2
Sierra Nevada Brewing Co.,INDIA_PALE_ALE,4,Ghidorah Double IPA - Beer Camp #29,8.2
Sierra Nevada Brewing Co.,INDIA_PALE_ALE,4.5,Hoptimum Double IPA - Beer Camp #19,10.4
Sierra Nevada Brewing Co.,INDIA_PALE_ALE,4,Northern Hemisphere Harvest Wet Hop Ale,6.7
Sierra Nevada Brewing Co.,INDIA_PALE_ALE,3.5,Estate Homegrown Wet Hop Ale,6.7
NÃ¸rrebro Bryghus,INDIA_PALE_ALE,4,North Bridge Extreme,9.5
Federal Jack's Restaurant & Brew Pub,INDIA_PALE_ALE,2.5,Kennebunkport IPA,6.2
Evil Twin Brewing,INDIA_PALE_ALE,4.5,Evil Twin Yang,10
Sierra Nevada Brewing Co.,INDIA_PALE_ALE,4,Handful Of Hops IPA - Beer Camp #10,8
Sierra Nevada Brewing Co.,INDIA_PALE_ALE,3.5,Long Stem IPA,5.8
Sierra Nevada Brewing Co.,INDIA_PALE_ALE,4.5,Sierra Nevada Chico Estate Harvest Wet Hop Ale (2008),6.7
Sierra Nevada Brewing Co.,INDIA_PALE_ALE,3,Sierra Nevada India Pale Ale,6.8
Crow Peak Brewing,INDIA_PALE_ALE,3,11th Hour IPA,6.5
NÃ¸rrebro Bryghus,INDIA_PALE_ALE,4,Bombay Pale Ale,6.5
Kairinmaru Beer,INDIA_PALE_ALE,3.5,Youteizan Beer,5
Aztec Brewing Company,INDIA_PALE_ALE,4,Chipotle IPA,6.6
