brewery,beertype,rating,name,ABV
South African Breweries plc,LAGER,1.5,Castle Lite,4
South African Breweries plc,LAGER,2,South Africa Lager,5
South African Breweries plc,LAGER,1.5,Castle Draught,5
Asahi Breweries Ltd,LAGER,2,Asahi Super Dry,5
Coopers Brewery Limited,LAGER,3,Premium Lager,5
Sierra Nevada Brewing Co.,LAGER,4.5,Liquid Sourdough (LSD) - Beer Camp #41,6.5
Sierra Nevada Brewing Co.,LAGER,4,Back Porch Lager - Beer Camp #32,5
Brauerei Zipf (Brau Union),LAGER,2.5,Zipfer Original,5.4
Brauerei Zipf (Brau Union),LAGER,2,Zipfer,5.4
NÃ¸rrebro Bryghus,LAGER,3,New York Lager,5.3
Palmetto Brewing Company,LAGER,3,Palmetto Lager,5.4
Sierra Nevada Brewing Co.,LAGER,3,Repoterroir Collaboration Lager,5.5
UNICER UniÃ£o Cervejeira S.A.,LAGER,3,Super Bock Green,4
UNICER UniÃ£o Cervejeira S.A.,LAGER,2.5,Super Bock,5.6
Red Oak Brewery,LAGER,4,Hummin' Bird,4.5
Red Oak Brewery,LAGER,4.5,Red Oak Amber,5
Krasnyj Vostok,LAGER,2,Rusky,8.2
Krasnyj Vostok,LAGER,3,Krasniy Vostok Svetloye,4.7
Krasnyj Vostok,LAGER,3.5,Russkoye Chyernoye,7
Krasnyj Vostok,LAGER,2.5,Ak Bars Lyegkoye,5.5
Krasnyj Vostok,LAGER,3.5,Klassichiskoye,5
Krasnyj Vostok,LAGER,3.5,Krasniy Vostok Krasnoye,5
Krasnyj Vostok,LAGER,2.5,Ak Bars,7
Krasnyj Vostok,LAGER,3.5,Bogemia Pale Beer,8.4
Krasnyj Vostok,LAGER,3.5,Yershistoye,6.2
Krasnyj Vostok,LAGER,2.5,Yantarnoye,4.5
Krasnyj Vostok,LAGER,1.5,Krasniy Vostok Originalnoye,6.2
Brauerei Zipf (Brau Union),LAGER,4,Zipfer Urtyp,5.4
Thisted Bryghus,LAGER,4,Ã˜kologisk Thy Humle,5.8
Thisted Bryghus,LAGER,2,Thisted Julebryg,7.9
Thisted Bryghus,LAGER,3.5,Thisted Thy Ã˜kologisk PÃ¥skebryg,5.8
